,Compound Name/PubChem ID,Binding_Affintiy
1059,25199699,-5.979
1060,162138,-5.855
1061,53463365,-5.791
1062,51042543,-7.824
1063,51039307,-7.872
1064,120678,-7.505
1065,10345799,-7.398
1066,10163855,-7.398
1067,15558417,-7.474
1068,2236,-7.42
1069,53957771,-7.315
1070,4369270,-7.504
1071,84996,-6.908
1072,57387365,-7.417
1073,9897771,-7.446
1074,68057,-6.371
1075,7002,-6.587
1076,26808,-6.535
1077,12297,-6.532
1078,8723,-6.69
1079,8314,-6.582
1080,7055,-6.587
1081,23459,-6.429
1082,20745,-6.467
1083,176,-6.45
1084,65126,-7.272
1085,41285,-6.469
1086,854019,-6.526
1087,6781,-6.475
1088,519382,-6.582
1089,8554,-6.538
1090,1711945,-6.785
1091,7362,-6.657
1092,72281,-6.814
1093,31276,-6.55
1094,31260,-6.69
1095,8907,-6.744
1096,6569,-6.65
1097,10446,-6.673
1098,68107,-6.467
1099,6451337,-6.579
1100,31291,-6.575
1101,521243,-6.534
1102,443156,-6.464
1103,97959,-6.442
1104,442347,-6.57
1105,7439,-6.436
1106,326,-6.473
1107,10724471,-6.611
1108,45356270,-7.293
1109,10931630,-6.421
1110,564934,-6.571
1111,89488,-6.438
1112,1463,-6.176
1113,10281,-6.51
1114,155803271,-6.427
1115,341846,-6.894
1116,11240513,-6.464
1117,182903,-6.034
1118,182904,-7.165
1119,6442162,-5.81
1120,6442163,-7.191
1121,23955893,-7.378
1122,5459045,-7.191
1123,5273566,-6.322
1124,91472,-7.179
1125,12410,-7.042
1126,6325610,-6.93
1127,160487,-6.824
1128,679,-6.314
1129,5280862,-6.94
1130,129848017,-6.777
1131,252042,-7.597
1132,5280681,-6.889
1133,5281601,-6.878
1134,16655785,-7.338
1135,171488,-7.663
1136,6584,-6.366
1137,7127,-6.411
1138,5316820,-6.908
1139,160921,-7.421
1140,161271,-7.372
1141,73207,-7.421
1142,12315152,-6.459
1143,11527,-6.465
1144,442482,-6.476
1145,6430763,-6.608
1146,188323,-6.931
1147,165225,-7.336
1148,13250,-6.522
1149,3084296,-6.747
1150,97214,-7.421
1151,261859,-7.593
1152,114776,-5.826
1153,630253,-7.434
1154,5317471,-5.789
1155,5288573,-6.567
1156,5281675,-5.826
1157,7043,-6.529
1158,8103,-6.532
1159,6276,-6.61
1160,15394,-6.568
1161,650,-6.299
1162,10329,-6.663
1163,8257,-6.656
1164,7895,-6.56
1165,18635,-6.661
1166,11173,-6.656
1167,15289,-6.656
1168,637920,-6.568
1169,9223,-6.571
1170,12232,-6.515
1171,19310,-6.41
1172,460,-6.53
1173,6428573,-6.474
1174,6054,-6.53
1175,1049,-6.65
1176,313474,-6.48
1177,73750,-6.725
1178,5284503,-6.601
1179,12314995,-6.53
1180,145858,-6.578
1181,13039058,-7.359
1182,129629071,-6.81
1183,44258170,-6.323
1184,5281707,-6.445
1185,44257412,-7.742
1186,442769,-5.584
1187,68245,-6.821
1188,443650,-6.319
1189,442813,-7.41
1190,439336,-6.828
1191,160521,-7.647
1192,44259406,-5.495
1193,160481,-6.688
1194,442456,-5.617
1195,159287,-7.486
1196,443652,-6.749
1197,160711,-5.973
1198,21039417,-6.922
1199,440832,-6.547
1200,443648,-7.004
1201,443651,-6.897
1202,120693,-6.333
1203,44259245,-6.769
1204,44259139,-6.982
1205,442658,-7.394
1206,119258,-6.34
1207,6844,-6.579
1208,19,-6.489
1209,255720,-6.388
1210,441432,-6.703
1211,547,-6.406
1212,91528,-6.17
1213,500,-6.517
1214,196,-6.683
1215,6293,-6.417
1216,2284,-6.511
1217,2969,-6.494
1218,5997,-7.492
1219,1081,-6.494
1220,791,-6.675
1221,92824,-6.581
1222,169019,-6.654
1223,10690,-6.69
1224,752,-6.679
1225,757,-6.565
1226,785,-6.616
1227,612,-6.425
1228,7405,-6.516
1229,444266,-6.367
1230,92817,-6.828
1231,6440594,-6.238
1232,379,-6.481
1233,1004,-6.486
1234,667639,-6.508
1235,385,-6.53
1236,6508,-6.804
1237,439242,-6.828
1238,8742,-6.661
1239,5780,-6.844
1240,1110,-6.214
1241,439533,-6.664
1242,444212,-6.371
1243,21637830,-7.134
1244,9831166,-5.597
1245,6042,-6.724
1246,71308174,-6.129
1247,2723872,-6.928
1248,3037582,-6.728
1249,31357,-6.497
1250,40634,-6.48
1251,5280536,-6.5
1252,44578390,-7.688
1253,689075,-6.551
1254,181681,-7.74
1255,124213,-7.734
1256,100067,-7.591
1257,131673,-7.638
1258,780,-6.406
1259,1001,-6.55
1260,1738,-6.525
1261,2153,-6.51
1262,2353,-7.103
1263,4680,-7.382
1264,5429,-6.51
1265,5770,-7.474
1266,5910,-6.577
1267,5978,-6.766
1268,5983,-6.771
1269,6000,-7.404
1270,6005,-6.546
1271,6167,-7.644
1272,7047,-6.567
1273,8223,-7.464
1274,9215,-6.516
1275,9294,-6.457
1276,9985,-6.437
1277,10219,-7.405
1278,10621,-7.072
1279,10666,-6.207
1280,13342,-7.281
1281,64961,-6.539
1282,65380,-7.34
1283,68077,-7.633
1284,72344,-7.485
1285,83489,-7.202
1286,90454,-6.719
1287,101744,-6.719
1288,275196,-7.426
1289,440735,-6.663
1290,441074,-6.919
1291,442428,-7.437
1292,446220,-6.776
1293,638024,-6.811
1294,3000322,-6.963
1295,3034034,-6.919
1296,5281673,-6.308
1297,5281708,-6.464
1298,5282150,-7.302
1299,5284371,-6.844
1300,5288826,-6.904
1301,5317750,-6.747
1302,5370536,-6.452
1303,12306866,-6.662
1304,16760075,-5.617
1305,46780424,-7.543
